"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"TCS","Tata Consultancy Services Limited","EQ","Interim Dividend - Rs 11 Per Share","1","15-Oct-2025","15-Oct-2025","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Interim Dividend - Rs 11 Per Share","1","16-Jul-2025","16-Jul-2025","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Dividend - Rs 30 Per Share","1","04-Jun-2025","04-Jun-2025","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Interim Dividend - Rs 10 Per Share Special Dividend - Rs 66 Per Share","1","17-Jan-2025","17-Jan-2025","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Interim Dividend - Rs 10 Per Share","1","18-Oct-2024","18-Oct-2024","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Interim Dividend - Rs 10 Per Share","1","19-Jul-2024","20-Jul-2024","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Dividend - Rs 28 Per Share","1","16-May-2024","16-May-2024","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Interim Dividend - Rs 9 Per Share Special Dividend - Rs 18 Per Share","1","19-Jan-2024","19-Jan-2024","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Buy Back","1","24-Nov-2023","25-Nov-2023","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Interim Dividend - Rs 9 Per Share","1","19-Oct-2023","19-Oct-2023","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Interim Dividend - Rs 9 Per Share","1","20-Jul-2023","20-Jul-2023","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Dividend - Rs 24 Per Share","1","15-Jun-2023","15-Jun-2023","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Interim Dividend - Rs 8 Per Share Special Dividend - Rs 67 Per Share","1","16-Jan-2023","17-Jan-2023","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Interim Dividend - Rs 8 Per Share","1","17-Oct-2022","18-Oct-2022","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Interim Dividend- Rs 8 Per Share","1","14-Jul-2022","16-Jul-2022","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Dividend - Rs 22 Per Share","1","25-May-2022","26-May-2022","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Buyback","1","22-Feb-2022","23-Feb-2022","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Interim Dividend - Rs 7 Per Share","1","19-Jan-2022","20-Jan-2022","-","-"
"TCS","Tata Consultancy Services Limited","EQ"," Interim Dividend - Rs 7 Per Share","1","14-Oct-2021","19-Oct-2021","-","-"
"TCS","Tata Consultancy Services Limited","EQ"," Interim Dividend - Rs 7 Per Share","1","15-Jul-2021","16-Jul-2021","-","-"
